Name,Description
"English Draughts","One of the most popular versions of Draughts, derived from the medieval game of Draughts but with the difference of the forced capture, hence its early name "Forçat." It probably originated in France, but it gained greater popularity in Britain, and spread from there to the American colonies and to some Native American populations. It remains a popular game today."
Nei-Pat-Kono,"Nei-Pat-Kono is a game played in Korea at least since the end of the nineteenth century, and likely earlier. It is a game of leaping captures similar to others common around the world."
"International Draughts","International Draughts, which is also commonly known as Polish Draughts, has become one of the most widely-played forms of Draughts in the world, and is played in international competitions. It seems to have originated in the eighteenth century in Paris, and spread throughout Europe from there and to the rest of the world through European colonisation."
Konane,"Konane is an indigenous Hawaiian game played on a board that varies: it can range from 6x6 to more than 14x14, and does not have to be square. It is a game with leaping capture, and has been played at least since the eighteenth century, but probably for longer. Konane boards can be found on rock surfaces throughout Hawaii, but they are difficult to date."
Lasca,"Lasca was invented by Emanuel Lasker in 1911. It is a combination of American checkers and a Russian game Bashni."
"Mogul Putt'han","Mogul Putt'han is played throughout South Asia, documented since the early nineteenth century and likely is older. It is played on an alquerque board with triangular extensions on two opposite sides."
Peralikatuma,"Peralikatuma is a board game played in Sri Lanka and other places in South Asia, documented since the early twentieth century but likely to be older. The game is played on an Alquerque board, 5x5 intersecting lines, with triangular appendages on each of the four sides."
"Hewakam Keliya","Hewakam Keliya is a game from South Asia that is similar to other games with leaping captures found in the region."
Zamma,"Zamma is a leaping capture game played in North Africa. It has been documented since at least the twentieth century, but is probably much older. It is related to other similar games from the area such as Draughts and Alquerque."
"Aw-li On-nam Ot-tjin","Aw-li On-nam Ot-tjin is a mancala-style game played in Borneo, documented among the Penihing people, but also claimed to be played by other groups of people throughout Borneo. It is typically played on a wooden board ("tu-tong ot-tjin") with two rows of 9 holes, with a larger hole at either end."
"Das Bohnenspiel","Das Bohnenspiel is a two-row mancala-style game described by Fritz Jahn, who described the game and two boards, one said to be a duplicate of one used by Catherina II of Russia to play with the Persian Shah 100 years before, and a another from the wife of the Oberpresident of Waldow, who played it during her childhood in Sczeczin. The game was popular among German-Baltic and Prussian royal families during the 19th century, but was popularized with Jahn's book. It continued play through at least the 1980s, as several East German books were published about it."
"En Gehe","En Gehé is a two-row mancala-style game played by the Loitha and Misonga Masai in northern Tanzania. It is reported to be exclusively played by men, usually in two teams of eight people. It is played on a board with rows of holes dug into the ground."
Kalah,"Kalah is a mancala-style game "imported" or likely invented by William Julius Champion in 1940."
Oware,"Oware is two-row mancala-style game originating and very popular in West Africa. It is also widely played in the Caribbean. It is played on a board with two rows of six holes, sometimes with a larger hole on both ends."
"Latin Square","A Latin Square is a mathematical puzzle which appears in various cultures around the world, probably independently invented."
"Chinese Checkers","Chinese Checkers, originally known as "Sternhalma," was invented in Germany in 1892 as a variant of the older American game Halma. It was called Chinese Checkers as a marketing ploy in the United States in 1928."
Halma,"Halma was invented in 1883 by George Howard Monks in Boston, and inspired other games such as Chinese Checkers."
Breakthrough,"Invented in 2000 by Dan Troyka, Breakthrough is a Chess variant played only with pawns."
Knightthrough,"Knightthrough is a Chess variant similar to Breakthrough, using knights instead of pawns."
Sneakthrough,"Sneakthrough is a Chess variant that was invented for Ludii. It is BreakThrough, but the opponent's pieces are hidden."
Backgammon,"Backgammon as it is known today seems to have been invented around the seventeenth century, but the games from which it developed are much older.. The origins of these games lie sometime in the early centuries CE, and it is related to the Roman board game XII Scripta and the Persian game Nard. Early boards can be found from around the sixth century in South and Southwest Asia, though other games such as Tric-Trac and Tables were also been played on the same board in medieval and early modern Europe."
"Royal Game of Ur","The so-called Royal Game of Ur—we do not know its ancient name—is one of the oldest known board games, dating to the third millennium BCE. While no rules have been passed down for this game specifically, a rule set based on a successor game, 20 Squares, has been applied to this slightly different board. The board consists of a grid of 3x4 squares, connected to a grid of 3x2 squares by a short bridge of 1x2 squares connecting the central rows of the other two grids. The game was played with four tetrahedral dice and 7 small disks per player as playing pieces."
"Gyan Chaupar","Gyan Chaupar is a game originating in India at an unknown time in the past. Since its origin in India, the game had moralistic tones, with setback and boons in the game associated with immoral or moral behavior, respectively. There are different variations based on Jain, Hindu, Islamic, and other religious traditions. It came to England around 1890 and was commercialized in other places like the Unites States as "Snakes (or Chutes) and Ladders.""
Amazons,"Invented in 1988 by Walter Zamkauskas and first published in the Argentine magzine El Acertijo in December 1992."
"L Game","L game was invented by Edward do Bono in 1967. It is a blocking game played by moving pieces which take up several spaces on a board."
"Mu Torere","Mu Torere is a game played by the Maori of New Zealand. It is unknown how old the game is, Best claims that it was not played by Maori people in all parts of New Zealand. The board takes the form of a circle divided into eighths, with eight points on the circumference (kewai) and the central point (putahi) being playing spaces."
Hex,"Hex was invented by Piet Hein in 1942 then described again by John Nash in 1944. It is played on a rhombus tiled by hexagons, most commonly 11x11 in size."
"Y (Hex)","Y (Hex) is a version of Hex created by Eric Piette for Ludii. It is played with hexagonal spaces arranged in a triangular board, 8 spaces on each side is typical."
Achi,"This game was observed played by Yoruba people, who called it Akidada, and in Ghana, during the early twentieth century. The board was traced into the sand, and the players used pieces which took the form of sticks made from palm leaves, one player using green sticks and the other using brown."
"All Queens Chess","Designed in the early 2000s by Elliot Rudell and published by The Happy Puzzle Company and ThinkFun."
Andantino,"Invented in 1995 by David L. Smith, Andantino is a tile-placing game using hexagonal tiles published by Nestor Games."
"Connect Four","Connect Four is a two-player connection game that was designed by Howard Wexler and Ned Strongin, and was first sold under this name by Milton Bradley in 1974."
Connect6,"Connect6 is a game invented by I-Chen Wu in Taiwan in 2003 and played on a Go board. The goal of the game is to make a line of six pieces."
Dara,"Dara is a game that is said to be played in West Africa, particularly among the Dakarkari people of Nigeria and the Zarma of Niger. It is also known as "dill," "doki" (horse), or "derrah." It is described on Wikipedia and other websites, but without reference to where the cultural information was obtained."
"Five Men's Morris","Five Men's Morris is attested in the seventeenth century, but it is possible that it was played earlier than this. It is played on a Six Men's Morris board, but each player has five pieces. Otherwise, the rules are the same as for Six Men's Morris."
Gomoku,"Gomoku ("Five Pieces") has been played in Japan since at least the Meiji Restoration. It is also popular in Korea, where it is called "Omok." It was introduced to nineteenth century Britain as Go Bang."
"Nine Men's Morris","Popular since at least the Roman Empire, Nine Men's Morris is an alignment game that is still played today. It appears in texts from Roman authors such as Ovid, and potentially may date to Hellenistic Greece."
"Round Merels","Round Merels is a hypothesized game based on the frequent discovery of this pattern as graffiti on Roman and later monuments. It may be similar to a simple merels game but on a round board."
Shisima,"Shisima is played by the Tiriki people in Kenya on an octagonal board. The board represents a source of water ("shisima") in the center, and the pieces are imbalavali, "water insects." It is a game of alignment."
"Six Men's Morris","Six Men's Morris was popular in Medieval Europe until about 1600 CE. It is an alignment game based on Nine Men's Morris, with similar rules."
"Tant Fant","Tant Fant is an alignment game documented in Bengal during the later eighteenth and early twentieth century, but is likely to be much older."
"Three Men's Morris","Three Men's Morris is a simple alignment game that is still played today, that has been played in Europe for centuries. It may also appear in  Roman sources, and similar boards have been found as graffiti at Roman sites."
Tic-Tac-Mo,"Tic-Tac-Mo is a three player version of Tic-Tac-Toe using "X," "O," and "Y". It is played on a grid of 3x5."
Tic-Tac-Toe,"Tic-Tac-Toe is a game of alignment popular among children. It is known from the nineteenth century in England and the United States, but may be older."
"Twelve Men's Morris","Twelve Men's Morris is a game of alignment known since at least the seventh century. It is played on a Nine Men's Morris board with corners of the concentric squares connected with diagonals."
Yavalath,"Yavalath was invented by Cameron Browne in 2007. It is played on a hexagonal board with five spaces per side. It can be played by two or three players."
"Dots and Boxes","Dots and Boxes was invented in the nineteenth century by Édouard Lucas, calling it "la Pipopipette." It is a pen-and-paper game that is sometimes adapted into other forms."
Reversi,"Reversi is a game purportedly invented in the early nineteenth century by either Lewis Waterman or John W. Mollett, but may actually be an older game. It is currently sold and marketed as Othello worldwide."
Takuzu,"Takuzu, also known as Binairo, is a logic puzzle involving placement of two symbols, often 1s and 0s, on a rectangular grid."
"Fill A Pix","Fill a Pix is a numerical deduction puzzle game invented by Trevor Truran."
Futoshiki,"Futoshiki is a numerical deduction puzzle invented by Tamaki Seto in 2001."
Kakuro,"Kakuro is a mathematical logic puzzle. Played on any size grid (usually 16x16), some of the squares are blacked out, leaving white squares in which play occurs."
"Killer Sudoku","Killer Sudoku is a puzzle that combines elements of Sudoku and Kakuro. Despite the name, the simpler Killer Sudokus can be easier to solve than regular Sudokus, depending on the solver's skill at mental arithmetic; the hardest ones, however, can take hours to crack."
"Magic Hexagon","Magic Hexagon is a logic puzzle game. A hexagonal grid (usually 3 per side) starts with numbers placed in some of the spaces."
"Magic Square","Magic square is a mathematical puzzle played on an n x n square grid."
"N Queens","N Queens is a Chess puzzle. N queens are placed on an nxn board so that they cannot take one another."
Slitherlink,"Slitherlink is a pen and paper puzzle that is played on a rectangular grid of dots."
Squaro,"Squaro is a logic puzzle played on a grid of any size with circles on the intersections."
Sudoku,"French newspapers in the 19th century had forms of this game, and it has appeared consistently since 1979. Nikoli began publishing Sudoku ("single number" in 1986."
Insanity,"Insanity is a small game played on a board with holes and pegs of two colors."
"Knight's Tour","Knight's tour is a puzzle by which a Chess knight is moved on a board so that is is placed in every square on the board only once. It has been documented in India, where the movement of the horse piece in Chaturanga has the same movement as the Chess knight."
"N Puzzles","N puzzles are played with tiles within a grid, with one empty space. For instance, in a 4x4 grid there are 15 tiles."
"Peg Solitaire","Peg Solitaire is a single-player game attested in Europe since the seventeenth century. There are two board variations, "European" which is hexagonal with three spaces per side and "English" which has the central hole in each of the six sides of the hexagon removed. Spaces take the form of holes in which pegs are inserted."
"Tower of Hanoi","Tower of Hanoi was invented by Édouard Lucas in 1883. The game equipment consists of three rods in a row and a series of disks of different sizes which fit on the rods."
Rock-Paper-Scissors,"Rock-paper-scissors is a hand game with its origins in East Asia. The names and actual gestures vary over time and place. Jan-Ken, a Japanese version, uses the hand gestures for rock, paper, and scissors, from the late nineteenth century. This version came to North America and Europe in the early twentieth century through contact with Japan."
Hawalis,"Hawalis is a mancala-style game played in Oman that closely mirrors Bao Ki Arabu in Zanzibar. It has been observed being played outside in Muscat, and the players were Arab-speaking Omani men. The board has 4 rows of 7 holes, and is often played as holes dug out in the sand."
Tron,"Tron is a video game based on the movie Tron by Walt Disney Pictures from 1982."
Chopsticks,"Chopsticks is a combinatorial hand game of uncertain origin. No equipment is required; people play by showing a number of fingers on their hands."
Nim,"Nim is a game of uncertain origins. It is first mentioned by Luca Paccioli, an Italian mathematician in the early sixteenth or late fifteenth century. It is similar to other games worldwide, but multiple independent inventions may be possible, not necessarily the dispersion of a single game."
Contagion,"Contagion was invented by game designer David King."
"Half Chess","Half Chess is a game with rules as described by John Groeneman, from the late 1960s. It is played on a 4x8 Chess board without the pawns."
Liubo,"Liubo is one of the oldest games known from ancient China. Its distinctive board, with the "TLV" pattern, is known since at least the Warring States period in China. Texts and artifacts give clues about the rules of the game, and a recently discovered text purporting to be the rules of the game has not been translated."
Qelat,"Qelat is a two-row mancala-style board game that is played in western Eritrea. It is very similar to the Gabata game from Shoa in Ethiopia, which is one of the more widely played Gabata games in the region."
Santaraj,"Säntäräj is a capturing game played in Ethiopia since at least the seventeenth century, among the ruling classes. It is very similar to Shatranj, though it begins with an opening phase known as Wärära ("marshalling of troops"), where players make their moves simultaneously without regard to alternating turns, until the first piece is captured."
"Pente Grammai","Pente Grammai, or "Five Lines," is a game known from Ancient Greek sources. Objects and graffiti have been found at Greek archaeological sites which come in the form of five parallel rows of lines, which have been identified as this game. Other versions appear that seem to have been doubled forms of the game. Other game boards in a 2x5 pattern that form square grids or rows of holes seem to be later versions of this game. "
Polis,"Polis is a board game mentioned in ancient Greek literary sources. Little is known about it, but the sources indicate that the spaces were called poleis, "cities," and a piece was called κύων (kyon), "dog". Captures were involved, and it has been speculated that the game is similar to Ludus Latrunculorum."
"Patolli (Aztec)","Patolli is a game played by the Aztecs, forms of which survive today. It is a race game, though we do not know many of the details of its early forms."
"Zohn Ahl","Zohn Ahl is a race game played by the Kiowa people of Oklahoma during the nineteenth century. It was typically played on a cloth with the board drawn on it. Players race around the circuit of the board, trying to "whip" their opponents back to start, and avoid falling into the "creek." It is only played by women and girls."
Tugi-Epfe,"Tugi-Épfe is a race game played by Tewa speaking Puebloan people of New Mexico around the turn of the twentieth century. The pieces represent horses, which race around the board, and may send one another back to start."
"Bao Kiswahili (DR Congo)","Bao Kiswahili is a four-row mancala-style board game played in the eastern part of the Democratic Republic of Congo. It was particularly popular among Banbubangu and Nonda people, as well as in some larger cities in surrounding regions."
Sungka,"Sungka is a two-row mancala-style board game from the Philippines. It is similar to many other games throughout Southeast Asia, which have similar playing mechanisms and similar names."
Go,"Also known as Weiqi in China, Go is one of the most popular board games, and one of the oldest continuously played games in the world. From an early date, it spread from China to Japan and Korea, and more recently it has become a popular game worldwide. It is a game of configuration, where the goal is to gain points by controlling territory on the board. "
Chaturanga,"Chaturanga is believed to be the earliest ancestor of Chess, Shogi, and many other similar games throughout the world. It is first documented in India, and the pieces (infantry, horses, elephants, and chariots) reflect the four divisions of the Indian army, who protect the counselor and king. Various Indian texts discuss the rules and problems, and it is also a popular theme in Indian art and literature."
Fidchell,"Fidchell is a game known from texts in Ireland. Not much information is given about how it is played, but boards found in the archaeological record seem to have belonged to this game."
Pachisi,"Pachisi is a race game and one of the longest-played games in South Asia. It is widely played throughout South Asia, and was transformed in the UK and US as Ludo and Parcheesi."
"Game of the Goose","The Game of the Goose is a simple race game, but was one of the most popular games in early modern Europe. It is one of the earliest printed games, which likely led to its popularity."
Nard,"Nard is a race game from Persia, documented since at least 600 CE. It is thought to be an ancestor to Backgammon and other games, like Japanese Ban-Sugoroku."
Seega,"Seega is a game played in North Africa, and is particularly well-known in Egypt and Sudan. It is a game that is similar to Draughts or Alquerque, but has a custodial capture mechanism instead of leaping. It has been documented since the nineteenth century, but is likely to be older. The boards are typically scooped out of the sand or etched into stone surfaces."
Tab,"Tab is a capturing game that is commonly played in North Africa and Southwest Asia, and in other places which have been in contact wit hthem, such as Comoros. It is typically played in holes in the sand, and is at least several hundred years old. Tab boards are found as graffiti on many monuments throughout the region in which it is played."
Awithlaknakwe,"Awithlaknakwe is a game with custodial captures played by the Zuni people of the southwest United States from the late nineteenth century."
"Totolospi (War)","Totolóspi is the name used for at least two games played by the Hopi of Arizona. This game is poorly described, but it is played on a square board with 55 pieces per player, and appears to be a capturing game."
Tuknanavuhpi,"Tuknanavuhpi is a leaping capture game played by the Hopi in Arizona during at the turn of the twentieth century. It is similar to games derived from Alquerque, like other Native American games adapted from the Spanish."
"Kotu Ellima","Kotu Ellima is a leaping capture game played in Sri Lanka since at least the nineteenth century, but which may potentially be older."
Terhuchu,"Terhüchü is a leaping capture game played on an expanded Alquerque board. It was played by the Naga people in the early twentieth century, but is likely to be much older."
Ratti-Chitti-Bakri,"Ratti-Chitti-Bakri is a game with leaping captures played in India. Each player controls forty pieces on a 9x9 board. It is played in a similar way to several other games in South, Southeast, and West Asia."
"Awithlaknan Mosona","Awithlaknan Mosona was played by the Zuni in New Mexico. Older Zuni men claimed it came there from Mexico. Zuni men described the game and were observed playing it by Matilda Coxe Stevenson. Nick Graham, a Zuni man, drew the board for Stuart Culin. Culin suggests there are two different versions based on the two boards he documented, but Stevenson is clear that the size of the board is not of a specific size."
"Lau Kata Kati","Lau Kata Kati is a leaping capture game similar to Alquerque observed during the nineteenth century in India, but which is probably much older."
"Dash Guti","Dash Guti is a game with leaping captures played in India, and similar to many other games with similar movement and capturing rules."
"Egara Guti","Egara Guti was documented in India during the early twentieth century. It is similar to other games found in India which seem to be related to alquerque games on various board configurations. The board is laid out like a Lau Kata Kati board, but with the second lines of each triangle connected on each side."
Pretwa,"Pretwa is a game played in India by the same rules of Alquerque, but with a circular board."
Dam,"Dam is a game with leaping captures that was played at least since the early twentieth century in Sri Lanka. It is closely related to Draughts games known throughout the world."
"Queah Game","The Queah Game is a game from nineteenth century Liberia, the name of which has not been reported. It is typically played in a "board" of interwoven sticks, in which "male" and "female" sticks are placed as pieces."
Rithmomachia,"Rithmomachia is a mathematical game of capture played in medieval and early modern Europe. Its complex mathematical rules suggest that it was originally only played in learned circles. There are many treatises and fragments of the rules, which suggest several variations on the rules through time."
Chuki,"Chuki is a game that was played in Malaysia during the nineteenth century, but there are references to a game with this name dating back to the seventeenth century. The rules are poorly understood, as the only description known does not function well as a game."
Kioz,"Kiôz is a capturing game played in the Levant in the seventeenth century. It is closely related to the game of Tab, which is still played in the region."
Awangdu,"Awangdu is a capturing game played in coastal West Africa in the mid-twentieth century. It is typically played with four players, two moving the pieces and two rolling the cowries."
"Shi Liu Kan Tsiang Kun","Shi Liu Kan Tsiang Kün is a hunt game from nineteenth century China. Sixteen pieces play against one general. The game was played by children and day laborers on boards drawn on the street."
"Juroku Musashi","Juroku Musashi is a hunt game from Japan. It has a rule where the soldiers may also win by confining the general to the triangular extension of the baord."
"Yeung Luk Sz' Kon Tseung Kwan","Yeung Luk Sz' Kon Tseung Kwan is a hunt game that was played in Nanjing in the seventeenth century. it was described by Shen Fuzong, a Chinese man who taught the English scholar Thomas Hyde about Chinese culture. It was played by young men, and was considered a game to teach war strategy."
Ashtapada,"Ashtapada is a term referring to a board game that predates Chess in India. It is widely believed that the 8x8 Ashtapada board, which is marked in certain places, was appropriated and used for Chaturanga, since many Chaturanga boards in India maintain the Ashtapada markings, though they are meaningless for chess. In the Ashtapabada of Balabharata (thirteenth century), a dice game is described as being played on the Ashtapada, with dice determining the movement of pieces on the board."
Romavoa,"Romavoa is a race game that seems to have been attested among the Tarahumara people of the Sierra Madre Occidental in Mexico since the eighteenth century. "
Sugoroku,"Sugoroku. is a race game that was played in Japan from the eighth century CE. Early boards are similar to boards for Chinese Shuanglu, and the games are probably related. By the nineteenth century, the game had largely become unpopular, and the rules for it are largely unreported, except for being similar to Backgammon."
Fevga,"Fevga is a game similar to Backgammon that is played in Greece and the eastern Mediterranean. It is typically played along with Portes and Plakoto as Tavli."
Plakoto,"Plakoto is a game related to Backgammon that is typically played as part of Tavli, along with Fevga and Portes, in the eastern Mediterranean."
Tawula,"Tawula is a race game similar to the constituent games of Tavli that was also played in Turkey and in Egypt during the nineteenth and twentieth centuries. "
Trictrac,"Trictrac is the name of a game played on a Backgammon board which has been played in France since the Middle Ages. The game as it is played today refers to Grand Trictrac, which became popular during the seventeenth century. This game, however, is the older version, for which the rules are incompletely understood. "
"Li'b el-Merafib","Li'b el-Merafib is a race game played by the Kababish people of Sudan. The pieces represent the players' mothers, traveling from their home village to a well to get water, and they have to race home to avoid being eaten by the hyena, which eliminates players it overtakes."
"Shing Quon Tu","Shing Quon Tu is a Chinese promotion game played during the seventeenth century. In it, players navigate the Chinese bureaucracy by throwing dice and following the instructions on the spaces. The dice throws are determined by the number of dice with the same number, rather than the numerical values shown."
"Totolospi (Race)","Totolóspi is a word referring to at least two games played by the Hopi in Arizona. This is a race game, which may be connected to games with similar shape in Mexico. The rules are incompletely reported from the nineteenth century."
"33 Circles","33 Circles is a board game found in Late Period Egypt. It is frequently found on the opposite side of late Senet boards. Decoration on the board suggest an origin outside Egypt, particularly in Southwest Asia, but boards have not been found from there."
"Knossos Game","The Knossos Game is a speculated game based on an object found at the Palace of Knossos in Crete which looks like a game board, and which had four conical pieces found nearby. It is a unique object, though fragments with similar decoration could point to its existence elsewhere in the Aegean."
"Les Pendus","Les Pendus is a game of alignment from France. It comes in a three-in-a-row variant and a five-in-a-row variant. It is unknown how old these games are in France, but the boards on which they are played have been common since the Roman (three-in-a-row) or medieval (five-in-a-row) period."
Shiva,"Shiva is a game of alignment played by the Tiv people of Nigeria. It's a rare game of alignment that only allows rows of no more than three pieces."
Dala,"Dala is a game of alignment played by older children among the Baggara peoples in Sudan. These rules come from the Homr people, but Riziegat people were observed playing a similar game. Davies implies they played with the same rules."
Mefuvha,"Mefuhva is a four-row mancala-style board game played by the Venda people in South Africa. It is played by men on large boards or in hollows dug into the ground."
Morabaraba,"Morabaraba is a game of alignment played in Southern Africa. It is typically played by men and boys, though sometimes played with girls in the home."
"Maak Yek","Maak Yék is a capturing game played in Thailand. It involves custodial capture of pieces, as well as a reverse form of this, where a single piece can capture two pieces surrounding it."
"Hasami Shogi","Hasami Shogi is a simplified version of Shogi, a Japanese game which is ultimately related to the Indian game Chaturanga. It is played only with the pawns on a 9x9 Shogi board."
Shantarad,"Shantarad is a game with captures played in Somaliland. It is closely related to the game Seega, and is typically played with stones on a board made from lines drawn in the sand."
"Mak Yep","Mak Yep is a game that was played in nineteenth century Thailand. The rules are incompletely documented, but a player wins by removing five pieces from the board without the other player being able to hop over one of the player's pieces."
Makvoer,"Makvœr is a form of Draughts played in Denmark, known since the seventeenth century. It features orthogonal and diagonal movement, and the name suggests a relationship to Molkwerums Dans, or Frisian Draughts, in which pieces move similarly."
"Ad elta stelpur","Að Elta Stelpur ("Chasing the Girls") is an Icelandic game played on a Backgammon board. It is known since the late nineteenth century, but earlier references in literature may allude to the game."
Tourne-Case,"Tourne-Case is a race game played on a Backgammon board from seventeenth century France. It involves three pieces racing to one end of the board, and only the lowest value of the dice can be used."
